CODIGO_ORGANIZACAO,QTD_CHAMADOS,CHAMADOS_ABERTOS,TEMPO_MEDIO_RES
T30884,537,0,0.0
T30893,426,0,0.0
T30925,158,0,0.0
T31057,353,0,0.0
T31130,409,0,0.0
T31146,50,0,0.0
T31188,207,0,0.0
T31424,177,0,0.0
T31440,54,0,0.0
T31446,184,0,0.0
T31489,111,0,0.0
T31587,65,0,0.0
T31660,122,0,0.0
T31748,98,0,0.0
T31787,24,0,0.0
T31812,287,0,0.0
T31823,171,0,0.0
T31846,158,0,0.0
T31851,32,0,0.0
T31926,40,0,0.0
T31939,100,0,0.0
T32013,43,0,0.0
T32062,121,0,0.0
T32065,360,0,0.0
T32108,68,0,0.0
T32126,113,0,0.0
T32403,87,0,0.0
T32484,382,0,0.0
T32634,74,0,0.0
T32650,24,0,0.0
T32730,1,0,0.0
T32772,129,0,0.0
T32848,19,0,0.0
T33051,349,0,0.0
T33094,189,0,0.0
T33230,34,0,0.0
T33271,167,0,0.0
T33319,201,0,0.0
T33320,130,0,0.0
T33327,98,0,0.0
T33358,227,0,0.0
T33399,8,0,0.0
T33428,52,0,0.0
T33437,2,0,0.0
T33465,1,0,0.0
T33815,26,0,0.0
T33882,78,0,0.0
T34101,265,0,0.0
T34103,257,0,0.0
T34111,65,0,0.0
T34142,633,0,0.0
T34371,149,0,0.0
T34551,64,0,0.0
T34593,101,0,0.0
T34636,13,0,0.0
T34643,27,0,0.0
T34693,135,0,0.0
T34781,154,0,0.0
T34846,63,0,0.0
T35033,190,0,0.0
T35043,84,0,0.0
T35077,211,0,0.0
T35094,1870,0,0.0
T35116,187,0,0.0
T35130,80,0,0.0
T35269,188,0,0.0
T35324,453,0,0.0
T35384,7,0,0.0
T35387,36,0,0.0
T35446,97,0,0.0
T35453,478,0,0.0
T35463,768,0,0.0
T35475,6,0,0.0
T35509,13,0,0.0
T35530,550,0,0.0
T35575,110,0,0.0
T35673,491,0,0.0
T35769,340,0,0.0
T35861,80,0,0.0
T35866,358,0,0.0
T35965,5,0,0.0
T36084,98,0,0.0
T36158,9,0,0.0
T36222,292,0,0.0
T36224,874,0,0.0
T36279,6,0,0.0
T36286,16,0,0.0
T36359,432,0,0.0
T36368,134,0,0.0
T36438,98,0,0.0
T36699,31,0,0.0
T36732,530,0,0.0
T36739,395,0,0.0
T36761,70,0,0.0
T36812,712,0,0.0
T36826,42,0,0.0
T36994,43,0,0.0
T37019,78,0,0.0
T37041,347,0,0.0
T37047,233,0,0.0
T37094,260,0,0.0
T37134,4,0,0.0
T37142,1,0,0.0
T37194,62,0,0.0
T37238,320,0,0.0
T37248,832,0,0.0
T37265,8,0,0.0
T37391,162,0,0.0
T37445,156,0,0.0
T37473,71,0,0.0
T37506,109,0,0.0
T37593,47,0,0.0
T37701,21,0,0.0
T37733,109,0,0.0
T37736,37,0,0.0
T37792,4,0,0.0
T37830,5,0,0.0
T37831,145,0,0.0
T37851,108,0,0.0
T37932,247,0,0.0
T37983,61,0,0.0
T38002,274,0,0.0
T38021,123,0,0.0
T38088,1,0,0.0
T38204,43,0,0.0
T38256,40,0,0.0
T38369,20,0,0.0
T38502,125,0,0.0
T38515,30,0,0.0
T38653,8,0,0.0
T38667,343,0,0.0
T38839,339,0,0.0
T39299,57,0,0.0
T39512,663,0,0.0
T39536,95,0,0.0
T39621,1,0,0.0
T39793,350,0,0.0
T39822,176,0,0.0
T39838,53,0,0.0
T39903,31,0,0.0
T39941,116,0,0.0
T39943,273,0,0.0
T40020,53,0,0.0
T40143,343,0,0.0
T40217,39,0,0.0
T40259,257,0,0.0
T40339,503,0,0.0
T40380,11,0,0.0
T40977,289,0,0.0
T41056,83,0,0.0
T41068,172,0,0.0
T41089,129,0,0.0
T41096,65,0,0.0
T41149,460,0,0.0
T41316,513,0,0.0
T41352,386,0,0.0
T41415,13,0,0.0
T41764,45,0,0.0
T41835,1,0,0.0
